name,position,team,ktcValue,value
Rhamondre Stevenson,RB,NEP,2920,7
Rashid Shaheed,WR,SEA,2887,6
David Njoku,TE,LAC,2858,6
JJ McCarthy,QB,MIN,2856,6
Travis Kelce,TE,KCC,2852,6
Kenneth Gainwell,RB,TBB,2838,6
Woody Marks,RB,HOU,2806,5
Isaac TeSlaa,WR,DET,2805,5
Tony Pollard,RB,TEN,2794,5
Elijah Sarratt,WR,RBAL,2786,5
Tre Harris,WR,LAC,2773,5
Mason Taylor,TE,NYJ,2758,5
Shedeur Sanders,QB,CLE,2752,5
Dylan Sampson,RB,CLE,2739,4
Juwan Johnson,TE,NOS,2737,4
Cade Otton,TE,TBB,2733,4
Tyler Allgeier,RB,ARI,2726,4
Rachaad White,RB,WAS,2726,4
Tua Tagovailoa,QB,ATL,2719,4
Tory Horton,WR,SEA,2711,4
Zachariah Branch,WR,RATL,2695,4
Jauan Jennings,WR,MIN,2692,4
Tyrone Tracy,RB,NYG,2690,4
Jake Tonges,TE,SFO,2689,4
Malachi Fields,WR,RNYG,2684,4
Jaylin Noel,WR,HOU,2683,4
Troy Franklin,WR,DEN,2664,3
Braelon Allen,RB,NYJ,2664,3
Kayshon Boutte,WR,NEP,2662,3
Jordan Mason,RB,MIN,2659,3
Mac Jones,QB,SFO,2653,3
Jerry Jeudy,WR,CLE,2621,3
Elic Ayomanor,WR,TEN,2611,3
Tyjae Spears,RB,TEN,2594,2
Chris Rodriguez,RB,JAC,2592,2
Tank Dell,WR,HOU,2544,2
Kaytron Allen,RB,RWAS,2525,1
Jack Bech,WR,LVR,2518,1
Skyler Bell,WR,RBUF,2518,1
