name,position,team,ktcValue,value
Zachariah Branch,WR,ATL,2911,3
Elijah Arroyo,TE,SEA,2831,2
Germie Bernard,WR,PIT,2823,2
Khalil Shakir,WR,BUF,2821,2
Michael Penix Jr.,QB,ATL,2819,2
Hunter Henry,TE,NEP,2807,2
Tony Pollard,RB,TEN,2803,2
Rachaad White,RB,WAS,2801,2
Rashid Shaheed,WR,SEA,2786,2
Jordan Mason,RB,MIN,2777,2
Stefon Diggs,WR,WAS,2771,2
Woody Marks,RB,HOU,2765,2
Juwan Johnson,TE,NOS,2754,2
Ja'Kobi Lane,WR,BAL,2750,2
Tyler Allgeier,RB,ARI,2686,1
Greg Dulcich,TE,MIA,2680,1
Tre Harris,WR,LAC,2675,1
Malachi Fields,WR,NYG,2675,1
Chris Rodriguez,RB,JAC,2653,1
Isaac TeSlaa,WR,DET,2651,1
Adonai Mitchell,WR,NYJ,2646,1
Eli Raridon,TE,NEP,2644,1
Ted Hurst,WR,TBB,2635,1
Keaton Mitchell,RB,LAC,2634,1
Max Klare,TE,LAR,2633,1
David Njoku,TE,LAC,2633,1
Elijah Sarratt,WR,BAL,2629,1
Tyrone Tracy,RB,NYG,2629,1
Cade Otton,TE,TBB,2622,1
